Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Coarse Sun Sensor (+Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Coarse Sun Sensor (-Z Face)","Custom CubeSat Sun Sensor","Used for initial acquisition and safe-mode attitude hold.","electrical","misc",1,500.00,500.00,"https://www.gomspace.com/products/adcs/nanopower-sunsensor.aspx"
"Fine Sun Sensor (+Z Face)","Custom CubeSat Fine Sun Sensor","Provides precise solar tracking data, mounted on +Z face.","electrical","misc",1,1500.00,1500.00,"https://www.google.com/search?q=cubesat+fine+sun+sensor"
"Magnetometer 1","Custom CubeSat Magnetometer","Used for momentum desaturation scheduling with magnetorquers.","electrical","misc",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Magnetometer 2","Custom CubeSat Magnetometer","Redundant magnetometer for momentum desaturation scheduling.","electrical","misc",1,1000.00,1000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetometer.aspx"
"Reaction Wheel 1","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 2","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Reaction Wheel 3","Bradford WDET10 or Microwheel 200","Provides attitude control torque. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque. Part of pyramid configuration.","electrical","mechanism",1,10000.00,10000.00,"https://www.sinclairinterplanetary.com/products/reaction-wheels"
"Reaction Wheel 4 (Redundant)","Bradford WDET10 or Microwheel 200","Redundant reaction wheel for attitude control. Skewed 54.7° from Z-axis. ≥ 30 mNm·s angular momentum, ≥ 0.5 mNm torque.","electrical","mechanism",1,10000.00,10000.00,"https://www.gomspace.com/products/adcs/nanopower-wheel-gsw200.aspx"
"Magnetorquer X-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"Magnetorquer Y-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"Magnetorquer Z-axis","Custom CubeSat Magnetorquer","Used for desaturation of reaction wheels and safe-mode detumbling. Dipole moment ≥ 0.3 A·m².","electrical","misc",1,2000.00,2000.00,"https://www.gomspace.com/products/adcs/nanopower-magnetorquer.aspx"
"ADCS Controller Board","Custom ADCS Control Board","Dedicated board for ADCS algorithms. Runs EKF at 100 Hz, PD control for fine pointing, and B-dot detumble algorithm. Interfaces with all ADCS sensors and actuators.","electrical","misc",1,15000.00,15000.00,"https://www.gomspace.com/products/adcs/nanopower-adcs.aspx"
"Power Conditioning & Distribution Unit","GomSpace NanoPower P60 or DHV Technology EPS-R","Manages power from solar arrays and battery. Unregulated 28V primary bus. Provides regulated 12V/5A, 5V/6A, 3.3V/4A rails. 28V pass-through rails (5A for SAR/X-Band, 3A for Jetson). Per-panel MPPT. Overcurrent protection (eFuse, latching relay).","electrical","misc",1,30000.00,30000.00,"https://www.gomspace.com/products/power/nanopower-p60.aspx"
"Li-ion Battery Pack","GomSpace BPX / Saft MP176065 / EaglePicher LCB","100–150 Wh Li-ion battery pack, 7.4V (2S) or 14.8V (4S) nominal voltage. Operational SOC 20%-90%. Cell temperature monitoring.","mechanical","misc",1,10000.00,10000.00,"https://www.gomspace.com/products/power/nanopower-battery-bpx.aspx"
"Deployable Solar Array Panel 1","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 2","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 3","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Deployable Solar Array Panel 4","Custom Triple-junction GaAs Solar Panel","GaAs triple-junction solar cells (XTJ-Prime or equivalent) with ≥ 30% efficiency. CFRP substrate, CMX coverglass. Contributes to ~80W BOL total power.","mechanical","structural",1,8000.00,8000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 5","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","mechanical","structural",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"Fixed Body-Mounted Solar Panel 6","Custom Triple-junction GaAs Solar Panel","Body-mounted GaAs triple-junction solar cells. Contributes to ~80W BOL total power.","mechanical","structural",1,4000.00,4000.00,"https://www.spectrolab.com/xtjprime.html"
"X-Band High-Rate Transmitter","Syrlinks EWC27 or Tethers Unlimited SWIFT-XTS","8.0–8.4 GHz, 150 Mbps (QPSK, rate 7/8 turbo code), 5 W RF output power. Downlinks imagery and AI alert packets. AES-256 encryption.","electrical","misc",1,35000.00,35000.00,"https://www.syrlinks.com/en/ewc27"
"X-Band Phased Array Antenna","Custom 4-element Patch Array Antenna","Fixed nadir-pointing 4-element patch phased array. ~10 dBi gain, ±25° HPBW. Connected to X-Band transmitter.","mechanical","misc",1,8000.00,8000.00,"https://www.digikey.com/en/products/result?keywords=x-band+patch+antenna+array"
"S-Band TT&C Transceiver Module","Custom S-Band Transceiver","2.025–2.110 GHz uplink, 2.200–2.290 GHz downlink. 9.6 kbps uplink, 256 kbps downlink. 1 W RF output. CCSDS TC/TM Space Packet Protocol. For telemetry, tracking & commanding.","electrical","misc",1,15000.00,15000.00,"https://www.gomspace.com/products/communication/nanopower-s-band-radio.aspx"
"S-Band Patch Antenna (+Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on +Z face.","mechanical","misc",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"S-Band Patch Antenna (-Z Face)","Custom CubeSat S-Band Patch Antenna","Provides full-sphere S-Band coverage, mounted on -Z face.","mechanical","misc",1,1000.00,1000.00,"https://www.digikey.com/en/products/result?keywords=s-band+patch+antenna"
"Battery Heater Mat 1","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","misc",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Battery Heater Mat 2","Kapton Heater Mat","2W thermostatically controlled Kapton heater mat for battery pack. Activates if battery temperature falls below 5°C.","electrical","misc",1,50.00,50.00,"https://www.digikey.com/en/products/detail/omega-engineering/KHLV-050-P-120/19024036"
"Temperature Sensor Node 1","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 2","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 3","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 4","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 5","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Temperature Sensor Node 6","Analog Devices ADT7420 (or similar)","Monitors temperature at a specific location for thermal control.","electrical","misc",1,10.00,10.00,"https://www.analog.com/en/products/adt7420.html"
"Solar Array 1 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 1. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 2 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 2. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 3 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 3. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"Solar Array 4 Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying Solar Array Panel 4. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,500.00,500.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"SAR Antenna Deployment Actuator","Shape Memory Alloy (SMA) Actuator","Pyro-free SMA actuator for deploying the SAR antenna. Dual-redundant command paths, arm+fire sequence.","electrical","mechanism",1,750.00,750.00,"https://www.saesgetters.com/products/shape-memory-alloys/"
"12U CubeSat Chassis Structure","Custom 12U CubeSat Structure","Primary structural frame for the 12U CubeSat (226x226x340mm), 6U upper payload bay, 6U lower bus bay. Made of Aluminum alloy 7075-T6. PC/104 and CDS Rev 14 compliant.","mechanical","structural",1,25000.00,25000.00,"https://www.cubesatshop.com/product/12u-cubesat-structure/"
"CFRP Optical Bench Plate","Custom CFRP Optical Bench","Carbon-fiber reinforced polymer optical bench plate for athermal telescope mounting. Isolates thermal distortion via bipod flexure mounts.","mechanical","structural",1,10000.00,10000.00,"https://www.tencatecomposites.com/"
"High-Stress Titanium Brackets","Custom Ti-6Al-4V Brackets","Grade 5 Titanium (Ti-6Al-4V) brackets for high-stress interfaces, e.g., securing payloads or ADCS components.","mechanical","structural",8,200.00,1600.00,"https://www.titanium-specialists.com/"
"Solar Array Hinge Assembly 1","Spring-loaded CubeSat Hinge","Spring-loaded hinge assembly for deploying solar panel 1. Designed to survive 14.1 g_rms random vibration.","mechanical","mechanism",1,1500.00,1500.00,"https://www.cubesatshop.com/product/solar-panel-deployment-hinge/"
"Solar Array Hinge Assembly 2","Spring-loaded CubeSat Hinge","Spring-loaded hinge assembly for deploying solar panel 2. Designed to survive 14.1 g_rms random vibration.","mechanical","mechanism",1,1500.00,1500.00,"https://www.cubesatshop.com/product/solar-panel-deployment-hinge/"
"Solar Array Hinge Assembly 3","Spring-loaded CubeSat Hinge","Spring-loaded hinge assembly for deploying solar panel 3. Designed to survive 14.1 g_rms random vibration.","mechanical","mechanism",1,1500.00,1500.00,"https://www.cubesatshop.com/product/solar-panel-deployment-hinge/"
"Solar Array Hinge Assembly 4","Spring-loaded CubeSat Hinge","Spring-loaded hinge assembly for deploying solar panel 4. Designed to survive 14.1 g_rms random vibration.","mechanical","mechanism",1,1500.00,1500.00,"https://www.cubesatshop.com/product/solar-panel-deployment-hinge/"
"SAR Antenna Deployment Hinge","Torsion Spring Hinge (Fail-Safe)","Torsion spring hinge for SAR antenna deployment, designed to be fail-safe (deployed configuration).","mechanical","mechanism",1,1200.00,1200.00,"https://www.cubesatshop.com/product/antenna-deployment-mechanism/"
"CubeSat Spring Ejector Interface","Nanoracks/Exolaunch/D-Orbit ION Compatible Interface","Standardized interface for deployment from common CubeSat ejectors.","mechanical","structural",1,5000.00,5000.00,"https://nanoracks.com/products/cubesat-deployment/"
"Passive Radiator Panel (-Z Face)","Custom Radiator Panel","Dedicated passive radiator panel on the -Z face for focal plane cooling. Black anodized surface for optimal radiation.","mechanical","enclosure",1,2000.00,2000.00,"https://www.satimagingcorp.com/satellite-sensors/thermal-control/"
"MLI Blankets (Telescope Barrel)","Multi-Layer Insulation Blanket","Multi-Layer Insulation blankets to cover the telescope barrel for thermal control.","mechanical","enclosure",1,800.00,800.00,"https://www.sheldahl.com/products/multi-layer-insulation-mli/"
"MLI Blankets (SAR Electronics)","Multi-Layer Insulation Blanket","Multi-Layer Insulation blankets to cover the SAR electronics for thermal control.","mechanical","enclosure",1,500.00,500.00,"https://www.sheldahl.com/products/multi-layer-insulation-mli/"
"Optical Solar Reflector (+X Face)","Custom OSR Panel","Optical Solar Reflector panel on +X face for passive thermal control.","mechanical","enclosure",1,1000.00,1000.00,"https://www.3m.com/3M/en_US/company-us/all-3m-products/~/3M-Optical-Solar-Reflector-Thermal-Control-Coatings/"
"Optical Solar Reflector (-X Face)","Custom OSR Panel","Optical Solar Reflector panel on -X face for passive thermal control.","mechanical","enclosure",1,1000.00,1000.00,"https://www.3m.com/3M/en_US/company-us/all-3m-products/~/3M-Optical-Solar-Reflector-Thermal-Control-Coatings/"
"Telescope Barrel","Custom CFRP Telescope Barrel","CFRP barrel for the TMA telescope, providing athermal performance (CTE < 1 × 10^-6 /°C).","mechanical","structural",1,20000.00,20000.00,"https://www.hexcel.com/products/carbon-fibers"
"TMA Primary Mirror (M1)","Custom Freeform Aluminum Mirror","First freeform mirror of the Three-Mirror Anastigmat (TMA) telescope. Aluminum substrate with electroless nickel plating + protected gold coating. Primary aperture diameter ≥ 200 mm.","mechanical","structural",1,15000.00,15000.00,"https://www.optics.arizona.edu/facilities/mirror-lab"
"TMA Secondary Mirror (M2)","Custom Freeform Aluminum Mirror","Second freeform mirror of the TMA telescope. Aluminum substrate with electroless nickel plating + protected gold coating.","mechanical","structural",1,12000.00,12000.00,"https://www.optics.arizona.edu/facilities/mirror-lab"
"TMA Tertiary Mirror (M3)","Custom Freeform Aluminum Mirror","Third freeform mirror of the TMA telescope. Aluminum substrate with electroless nickel plating + protected gold coating.","mechanical","structural",1,12000.00,12000.00,"https://www.optics.arizona.edu/facilities/mirror-lab"
"Telescope Baffles & Light Stops","Custom Aluminum Baffling","Internal baffling and knife-edge light stops within the telescope barrel for stray light rejection (≥ 10^-6 veiling glare index).","mechanical","structural",1,1500.00,1500.00,"https://www.thorlabs.com/newgrouppage9.cfm?objectgroup_id=262"
"FPA Conduction Strap","Custom Pyrolytic Graphite Conduction Strap","Conduction strap for passive cooling of the Focal Plane Assembly to the -Z radiator panel.","mechanical","structural",1,700.00,700.00,"https://www.pyrograf.com/products/pyrolytic-graphite"
"AI Accelerator Aluminum Vault","Custom 2mm Aluminum Enclosure","2 mm thick aluminum vault enclosing the Jetson Orin NX for radiation shielding.","mechanical","enclosure",1,1000.00,1000.00,"https://www.protocase.com/products/enclosures/aluminum-enclosures/"
"AI Accelerator Tantalum Spot Shielding","Custom 0.5mm Tantalum Sheet","0.5 mm tantalum spot shielding over critical logic components of the Jetson Orin NX.","mechanical","enclosure",1,800.00,800.00,"https://www.tantalum-nbo.com/tantalum-sheet-foil"
"PC/104 Stacking Spacers","PC/104 Standoffs","Standoffs for stacking PC/104 compliant boards within the CubeSat chassis.","mechanical","misc",12,5.00,60.00,"https://www.digikey.com/en/products/detail/adafruit/5661/13936856"
"M2.5 Fasteners (Internal)","M2.5 Hex Socket Cap Screws","General purpose M2.5 fasteners for internal component mounting.","mechanical","misc",100,0.20,20.00,"https://www.amazon.com/s?k=M2.5+socket+cap+screws"
"M3 Fasteners (Chassis/Panels)","M3 Hex Socket Cap Screws","General purpose M3 fasteners for chassis panels and structural elements.","mechanical","misc",50,0.30,15.00,"https://www.amazon.com/s?k=M3+socket+cap+screws"
"Mechanical Deployment Inhibits","Custom Launch Locks","Three mechanical inhibits to prevent unintended deployment before launch, as per CSLI safety requirements.","mechanical","mechanism",3,500.00,1500.00,"https://www.google.com/search?q=cubesat+mechanical+inhibits"
"Harness Cable Ties","Space-Grade Cable Ties","Cable ties for securing internal power and signal harnesses.","mechanical","misc",50,1.00,50.00,"https://www.hellermanntyton.com/products/cable-ties"
"Harness Routing Troughs","Custom 3D Printed Cable Guides","Custom 3D printed troughs to separate power, signal, and RF harnesses, maintaining minimum 25mm separation.","mechanical","3d_printed",6,50.00,300.00,"https://www.amazon.com/s?k=3d+printed+cable+management"
"28V Unregulated Power Bus","Custom Power Distribution Board","Distributes unregulated 28V power to connected components.","electrical","module",1,500.00,500.00,"https://www.digikey.com/en/products/result?keywords=power+distribution+board"
"12V Regulated Power Bus","Custom Power Distribution Board","Distributes regulated 12V power to connected components.","electrical","module",1,300.00,300.00,"https://www.digikey.com/en/products/result?keywords=power+distribution+board"
"5V Regulated Power Bus","Custom Power Distribution Board","Distributes regulated 5V power to connected components.","electrical","module",1,300.00,300.00,"https://www.digikey.com/en/products/result?keywords=power+distribution+board"
"3.3V Regulated Power Bus","Custom Power Distribution Board","Distributes regulated 3.3V power to connected components.","electrical","module",1,300.00,300.00,"https://www.digikey.com/en/products/result?keywords=power+distribution+board"